Constructor,Driver,FastestLap,Time,circuitName,grid,laps,number,points,position,positionText,raceName,round,season,status
ferrari,michael_schumacher,,"{'millis': '5641987', 'time': '1:34:01.987'}",Albert Park Grand Prix Circuit,3,58,3,10,1,1,Australian Grand Prix,1,2000,Finished
ferrari,barrichello,,"{'millis': '5653402', 'time': '+11.415'}",Albert Park Grand Prix Circuit,4,58,4,6,2,2,Australian Grand Prix,1,2000,Finished
williams,ralf_schumacher,,"{'millis': '5661996', 'time': '+20.009'}",Albert Park Grand Prix Circuit,11,58,9,4,3,3,Australian Grand Prix,1,2000,Finished
bar,villeneuve,,"{'millis': '5686434', 'time': '+44.447'}",Albert Park Grand Prix Circuit,8,58,22,3,4,4,Australian Grand Prix,1,2000,Finished
benetton,fisichella,,"{'millis': '5687152', 'time': '+45.165'}",Albert Park Grand Prix Circuit,9,58,11,2,5,5,Australian Grand Prix,1,2000,Finished
bar,zonta,,"{'millis': '5688455', 'time': '+46.468'}",Albert Park Grand Prix Circuit,16,58,23,1,6,6,Australian Grand Prix,1,2000,Finished
benetton,wurz,,"{'millis': '5688902', 'time': '+46.915'}",Albert Park Grand Prix Circuit,14,58,12,0,7,7,Australian Grand Prix,1,2000,Finished
minardi,gene,,,Albert Park Grand Prix Circuit,18,57,20,0,8,8,Australian Grand Prix,1,2000,+1 Lap
prost,heidfeld,,,Albert Park Grand Prix Circuit,15,56,15,0,9,9,Australian Grand Prix,1,2000,+2 Laps
sauber,salo,,,Albert Park Grand Prix Circuit,10,58,17,0,10,D,Australian Grand Prix,1,2000,Disqualified
williams,button,,,Albert Park Grand Prix Circuit,21,46,10,0,11,R,Australian Grand Prix,1,2000,Engine
sauber,diniz,,,Albert Park Grand Prix Circuit,19,41,16,0,12,R,Australian Grand Prix,1,2000,Transmission
minardi,mazzacane,,,Albert Park Grand Prix Circuit,22,40,21,0,13,R,Australian Grand Prix,1,2000,Gearbox
jordan,frentzen,,,Albert Park Grand Prix Circuit,5,39,5,0,14,R,Australian Grand Prix,1,2000,Hydraulics
jordan,trulli,,,Albert Park Grand Prix Circuit,6,35,6,0,15,R,Australian Grand Prix,1,2000,Engine
prost,alesi,,,Albert Park Grand Prix Circuit,17,27,14,0,16,R,Australian Grand Prix,1,2000,Hydraulics
mclaren,hakkinen,,,Albert Park Grand Prix Circuit,1,18,1,0,17,R,Australian Grand Prix,1,2000,Engine
arrows,verstappen,,,Albert Park Grand Prix Circuit,13,16,19,0,18,R,Australian Grand Prix,1,2000,Suspension
mclaren,coulthard,,,Albert Park Grand Prix Circuit,2,11,2,0,19,R,Australian Grand Prix,1,2000,Engine
arrows,rosa,,,Albert Park Grand Prix Circuit,12,6,18,0,20,R,Australian Grand Prix,1,2000,Suspension
jaguar,irvine,,,Albert Park Grand Prix Circuit,7,6,7,0,21,R,Australian Grand Prix,1,2000,Spun off
jaguar,herbert,,,Albert Park Grand Prix Circuit,20,1,8,0,22,R,Australian Grand Prix,1,2000,Clutch
ferrari,michael_schumacher,,"{'millis': '5495271', 'time': '1:31:35.271'}",Autódromo José Carlos Pace,3,71,3,10,1,1,Brazilian Grand Prix,2,2000,Finished
benetton,fisichella,,"{'millis': '5535169', 'time': '+39.898'}",Autódromo José Carlos Pace,5,71,11,6,2,2,Brazilian Grand Prix,2,2000,Finished
jordan,frentzen,,"{'millis': '5537539', 'time': '+42.268'}",Autódromo José Carlos Pace,7,71,5,4,3,3,Brazilian Grand Prix,2,2000,Finished
jordan,trulli,,"{'millis': '5568051', 'time': '+1:12.780'}",Autódromo José Carlos Pace,12,71,6,3,4,4,Brazilian Grand Prix,2,2000,Finished
williams,ralf_schumacher,,,Autódromo José Carlos Pace,11,70,9,2,5,5,Brazilian Grand Prix,2,2000,+1 Lap
williams,button,,,Autódromo José Carlos Pace,9,70,10,1,6,6,Brazilian Grand Prix,2,2000,+1 Lap
arrows,verstappen,,,Autódromo José Carlos Pace,14,70,19,0,7,7,Brazilian Grand Prix,2,2000,+1 Lap
arrows,rosa,,,Autódromo José Carlos Pace,16,70,18,0,8,8,Brazilian Grand Prix,2,2000,+1 Lap
bar,zonta,,,Autódromo José Carlos Pace,8,69,23,0,9,9,Brazilian Grand Prix,2,2000,+2 Laps
minardi,mazzacane,,,Autódromo José Carlos Pace,20,69,21,0,10,10,Brazilian Grand Prix,2,2000,+2 Laps
mclaren,coulthard,,,Autódromo José Carlos Pace,2,71,2,0,11,D,Brazilian Grand Prix,2,2000,Disqualified
jaguar,herbert,,,Autódromo José Carlos Pace,17,51,8,0,12,R,Brazilian Grand Prix,2,2000,Gearbox
minardi,gene,,,Autódromo José Carlos Pace,18,31,20,0,13,R,Brazilian Grand Prix,2,2000,Engine
mclaren,hakkinen,,,Autódromo José Carlos Pace,1,30,1,0,14,R,Brazilian Grand Prix,2,2000,Oil pressure
ferrari,barrichello,,,Autódromo José Carlos Pace,4,27,4,0,15,R,Brazilian Grand Prix,2,2000,Hydraulics
jaguar,irvine,,,Autódromo José Carlos Pace,6,20,7,0,16,R,Brazilian Grand Prix,2,2000,Spun off
bar,villeneuve,,,Autódromo José Carlos Pace,10,16,22,0,17,R,Brazilian Grand Prix,2,2000,Gearbox
prost,alesi,,,Autódromo José Carlos Pace,15,11,14,0,18,R,Brazilian Grand Prix,2,2000,Electrical
prost,heidfeld,,,Autódromo José Carlos Pace,19,9,15,0,19,R,Brazilian Grand Prix,2,2000,Engine
benetton,wurz,,,Autódromo José Carlos Pace,13,6,12,0,20,R,Brazilian Grand Prix,2,2000,Engine
sauber,diniz,,,Autódromo José Carlos Pace,0,0,16,0,21,W,Brazilian Grand Prix,2,2000,Safety concerns
sauber,salo,,,Autódromo José Carlos Pace,0,0,17,0,22,W,Brazilian Grand Prix,2,2000,Safety concerns
ferrari,michael_schumacher,,"{'millis': '5499776', 'time': '1:31:39.776'}",Autodromo Enzo e Dino Ferrari,2,62,3,10,1,1,San Marino Grand Prix,3,2000,Finished
mclaren,hakkinen,,"{'millis': '5500944', 'time': '+1.168'}",Autodromo Enzo e Dino Ferrari,1,62,1,6,2,2,San Marino Grand Prix,3,2000,Finished
mclaren,coulthard,,"{'millis': '5550784', 'time': '+51.008'}",Autodromo Enzo e Dino Ferrari,3,62,2,4,3,3,San Marino Grand Prix,3,2000,Finished
ferrari,barrichello,,"{'millis': '5589052', 'time': '+1:29.276'}",Autodromo Enzo e Dino Ferrari,4,62,4,3,4,4,San Marino Grand Prix,3,2000,Finished
bar,villeneuve,,,Autodromo Enzo e Dino Ferrari,9,61,22,2,5,5,San Marino Grand Prix,3,2000,+1 Lap
sauber,salo,,,Autodromo Enzo e Dino Ferrari,12,61,17,1,6,6,San Marino Grand Prix,3,2000,+1 Lap
jaguar,irvine,,,Autodromo Enzo e Dino Ferrari,7,61,7,0,7,7,San Marino Grand Prix,3,2000,+1 Lap
sauber,diniz,,,Autodromo Enzo e Dino Ferrari,10,61,16,0,8,8,San Marino Grand Prix,3,2000,+1 Lap
benetton,wurz,,,Autodromo Enzo e Dino Ferrari,11,61,12,0,9,9,San Marino Grand Prix,3,2000,+1 Lap
jaguar,herbert,,,Autodromo Enzo e Dino Ferrari,17,61,8,0,10,10,San Marino Grand Prix,3,2000,+1 Lap
benetton,fisichella,,,Autodromo Enzo e Dino Ferrari,19,61,11,0,11,11,San Marino Grand Prix,3,2000,+1 Lap
bar,zonta,,,Autodromo Enzo e Dino Ferrari,14,61,23,0,12,12,San Marino Grand Prix,3,2000,+1 Lap
minardi,mazzacane,,,Autodromo Enzo e Dino Ferrari,20,60,21,0,13,13,San Marino Grand Prix,3,2000,+2 Laps
arrows,verstappen,,,Autodromo Enzo e Dino Ferrari,16,59,19,0,14,14,San Marino Grand Prix,3,2000,+3 Laps
jordan,trulli,,,Autodromo Enzo e Dino Ferrari,8,58,6,0,15,15,San Marino Grand Prix,3,2000,Gearbox
arrows,rosa,,,Autodromo Enzo e Dino Ferrari,13,49,18,0,16,R,San Marino Grand Prix,3,2000,Spun off
williams,ralf_schumacher,,,Autodromo Enzo e Dino Ferrari,5,45,9,0,17,R,San Marino Grand Prix,3,2000,Fuel system
prost,alesi,,,Autodromo Enzo e Dino Ferrari,15,25,14,0,18,R,San Marino Grand Prix,3,2000,Hydraulics
prost,heidfeld,,,Autodromo Enzo e Dino Ferrari,22,22,15,0,19,R,San Marino Grand Prix,3,2000,Hydraulics
williams,button,,,Autodromo Enzo e Dino Ferrari,18,5,10,0,20,R,San Marino Grand Prix,3,2000,Engine
minardi,gene,,,Autodromo Enzo e Dino Ferrari,21,5,20,0,21,R,San Marino Grand Prix,3,2000,Spun off
jordan,frentzen,,,Autodromo Enzo e Dino Ferrari,6,4,5,0,22,R,San Marino Grand Prix,3,2000,Gearbox
mclaren,coulthard,,"{'millis': '5330108', 'time': '1:28:50.108'}",Silverstone Circuit,4,60,2,10,1,1,British Grand Prix,4,2000,Finished
mclaren,hakkinen,,"{'millis': '5331585', 'time': '+1.477'}",Silverstone Circuit,3,60,1,6,2,2,British Grand Prix,4,2000,Finished
ferrari,michael_schumacher,,"{'millis': '5350025', 'time': '+19.917'}",Silverstone Circuit,5,60,3,4,3,3,British Grand Prix,4,2000,Finished
williams,ralf_schumacher,,"{'millis': '5371420', 'time': '+41.312'}",Silverstone Circuit,7,60,9,3,4,4,British Grand Prix,4,2000,Finished
williams,button,,"{'millis': '5387867', 'time': '+57.759'}",Silverstone Circuit,6,60,10,2,5,5,British Grand Prix,4,2000,Finished
jordan,trulli,,"{'millis': '5409381', 'time': '+1:19.273'}",Silverstone Circuit,11,60,6,1,6,6,British Grand Prix,4,2000,Finished
benetton,fisichella,,,Silverstone Circuit,12,59,11,0,7,7,British Grand Prix,4,2000,+1 Lap
sauber,salo,,,Silverstone Circuit,18,59,17,0,8,8,British Grand Prix,4,2000,+1 Lap
benetton,wurz,,,Silverstone Circuit,20,59,12,0,9,9,British Grand Prix,4,2000,+1 Lap
prost,alesi,,,Silverstone Circuit,15,59,14,0,10,10,British Grand Prix,4,2000,+1 Lap
sauber,diniz,,,Silverstone Circuit,13,59,16,0,11,11,British Grand Prix,4,2000,+1 Lap
jaguar,herbert,,,Silverstone Circuit,14,59,8,0,12,12,British Grand Prix,4,2000,+1 Lap
jaguar,irvine,,,Silverstone Circuit,9,59,7,0,13,13,British Grand Prix,4,2000,+1 Lap
minardi,gene,,,Silverstone Circuit,21,59,20,0,14,14,British Grand Prix,4,2000,+1 Lap
minardi,mazzacane,,,Silverstone Circuit,22,59,21,0,15,15,British Grand Prix,4,2000,+1 Lap
bar,villeneuve,,,Silverstone Circuit,10,56,22,0,16,16,British Grand Prix,4,2000,+4 Laps
jordan,frentzen,,,Silverstone Circuit,2,54,5,0,17,17,British Grand Prix,4,2000,+6 Laps
prost,heidfeld,,,Silverstone Circuit,17,51,15,0,18,R,British Grand Prix,4,2000,Engine
bar,zonta,,,Silverstone Circuit,16,36,23,0,19,R,British Grand Prix,4,2000,Spun off
ferrari,barrichello,,,Silverstone Circuit,1,35,4,0,20,R,British Grand Prix,4,2000,Hydraulics
arrows,rosa,,,Silverstone Circuit,19,26,18,0,21,R,British Grand Prix,4,2000,Electrical
arrows,verstappen,,,Silverstone Circuit,8,20,19,0,22,R,British Grand Prix,4,2000,Electrical
mclaren,hakkinen,,"{'millis': '5635390', 'time': '1:33:55.390'}",Circuit de Barcelona-Catalunya,2,65,1,10,1,1,Spanish Grand Prix,5,2000,Finished
mclaren,coulthard,,"{'millis': '5651456', 'time': '+16.066'}",Circuit de Barcelona-Catalunya,4,65,2,6,2,2,Spanish Grand Prix,5,2000,Finished
ferrari,barrichello,,"{'millis': '5664502', 'time': '+29.112'}",Circuit de Barcelona-Catalunya,3,65,4,4,3,3,Spanish Grand Prix,5,2000,Finished
williams,ralf_schumacher,,"{'millis': '5672701', 'time': '+37.311'}",Circuit de Barcelona-Catalunya,5,65,9,3,4,4,Spanish Grand Prix,5,2000,Finished
ferrari,michael_schumacher,,"{'millis': '5683373', 'time': '+47.983'}",Circuit de Barcelona-Catalunya,1,65,3,2,5,5,Spanish Grand Prix,5,2000,Finished
jordan,frentzen,,"{'millis': '5717315', 'time': '+1:21.925'}",Circuit de Barcelona-Catalunya,8,65,5,1,6,6,Spanish Grand Prix,5,2000,Finished
sauber,salo,,,Circuit de Barcelona-Catalunya,12,64,17,0,7,7,Spanish Grand Prix,5,2000,+1 Lap
bar,zonta,,,Circuit de Barcelona-Catalunya,16,64,23,0,8,8,Spanish Grand Prix,5,2000,+1 Lap
benetton,fisichella,,,Circuit de Barcelona-Catalunya,13,64,11,0,9,9,Spanish Grand Prix,5,2000,+1 Lap
benetton,wurz,,,Circuit de Barcelona-Catalunya,18,64,12,0,10,10,Spanish Grand Prix,5,2000,+1 Lap
jaguar,irvine,,,Circuit de Barcelona-Catalunya,9,64,7,0,11,11,Spanish Grand Prix,5,2000,+1 Lap
jordan,trulli,,,Circuit de Barcelona-Catalunya,7,64,6,0,12,12,Spanish Grand Prix,5,2000,+1 Lap
jaguar,herbert,,,Circuit de Barcelona-Catalunya,14,64,8,0,13,13,Spanish Grand Prix,5,2000,+1 Lap
minardi,gene,,,Circuit de Barcelona-Catalunya,20,63,20,0,14,14,Spanish Grand Prix,5,2000,+2 Laps
minardi,mazzacane,,,Circuit de Barcelona-Catalunya,21,63,21,0,15,15,Spanish Grand Prix,5,2000,+2 Laps
prost,heidfeld,,,Circuit de Barcelona-Catalunya,19,62,15,0,16,16,Spanish Grand Prix,5,2000,+3 Laps
williams,button,,,Circuit de Barcelona-Catalunya,10,61,10,0,17,17,Spanish Grand Prix,5,2000,Engine
arrows,verstappen,,,Circuit de Barcelona-Catalunya,11,25,19,0,18,R,Spanish Grand Prix,5,2000,Gearbox
bar,villeneuve,,,Circuit de Barcelona-Catalunya,6,21,22,0,19,R,Spanish Grand Prix,5,2000,Hydraulics
prost,alesi,,,Circuit de Barcelona-Catalunya,17,1,14,0,20,R,Spanish Grand Prix,5,2000,Collision
arrows,rosa,,,Circuit de Barcelona-Catalunya,22,1,18,0,21,R,Spanish Grand Prix,5,2000,Collision
sauber,diniz,,,Circuit de Barcelona-Catalunya,15,0,16,0,22,R,Spanish Grand Prix,5,2000,Spun off
ferrari,michael_schumacher,,"{'millis': '6120307', 'time': '1:42:00.307'}",Nürburgring,2,67,3,10,1,1,European Grand Prix,6,2000,Finished
mclaren,hakkinen,,"{'millis': '6134129', 'time': '+13.822'}",Nürburgring,3,67,1,6,2,2,European Grand Prix,6,2000,Finished
mclaren,coulthard,,,Nürburgring,1,66,2,4,3,3,European Grand Prix,6,2000,+1 Lap
ferrari,barrichello,,,Nürburgring,4,66,4,3,4,4,European Grand Prix,6,2000,+1 Lap
benetton,fisichella,,,Nürburgring,7,66,11,2,5,5,European Grand Prix,6,2000,+1 Lap
arrows,rosa,,,Nürburgring,12,66,18,1,6,6,European Grand Prix,6,2000,+1 Lap
sauber,diniz,,,Nürburgring,15,65,16,0,7,7,European Grand Prix,6,2000,+2 Laps
minardi,mazzacane,,,Nürburgring,21,65,21,0,8,8,European Grand Prix,6,2000,+2 Laps
prost,alesi,,,Nürburgring,17,65,14,0,9,9,European Grand Prix,6,2000,+2 Laps
williams,button,,,Nürburgring,11,62,10,0,10,10,European Grand Prix,6,2000,Electrical
jaguar,herbert,,,Nürburgring,16,61,8,0,11,11,European Grand Prix,6,2000,Collision
benetton,wurz,,,Nürburgring,14,61,12,0,12,12,European Grand Prix,6,2000,Collision
bar,zonta,,,Nürburgring,18,51,23,0,13,R,European Grand Prix,6,2000,Spun off
minardi,gene,,,Nürburgring,20,47,20,0,14,R,European Grand Prix,6,2000,Throttle
bar,villeneuve,,,Nürburgring,9,46,22,0,15,R,European Grand Prix,6,2000,Engine
jaguar,irvine,,,Nürburgring,8,29,7,0,16,R,European Grand Prix,6,2000,Collision
arrows,verstappen,,,Nürburgring,13,29,19,0,17,R,European Grand Prix,6,2000,Spun off
williams,ralf_schumacher,,,Nürburgring,5,29,9,0,18,R,European Grand Prix,6,2000,Collision
sauber,salo,,,Nürburgring,19,27,17,0,19,R,European Grand Prix,6,2000,Halfshaft
jordan,frentzen,,,Nürburgring,10,2,5,0,20,R,European Grand Prix,6,2000,Engine
jordan,trulli,,,Nürburgring,6,0,6,0,21,R,European Grand Prix,6,2000,Collision
mclaren,coulthard,,"{'millis': '6568213', 'time': '1:49:28.213'}",Circuit de Monaco,3,78,2,10,1,1,Monaco Grand Prix,7,2000,Finished
ferrari,barrichello,,"{'millis': '6584102', 'time': '+15.889'}",Circuit de Monaco,6,78,4,6,2,2,Monaco Grand Prix,7,2000,Finished
benetton,fisichella,,"{'millis': '6586735', 'time': '+18.522'}",Circuit de Monaco,8,78,11,4,3,3,Monaco Grand Prix,7,2000,Finished
jaguar,irvine,,"{'millis': '6634137', 'time': '+1:05.924'}",Circuit de Monaco,10,78,7,3,4,4,Monaco Grand Prix,7,2000,Finished
sauber,salo,,"{'millis': '6648988', 'time': '+1:20.775'}",Circuit de Monaco,13,78,17,2,5,5,Monaco Grand Prix,7,2000,Finished
mclaren,hakkinen,,,Circuit de Monaco,5,77,1,1,6,6,Monaco Grand Prix,7,2000,+1 Lap
bar,villeneuve,,,Circuit de Monaco,17,77,22,0,7,7,Monaco Grand Prix,7,2000,+1 Lap
prost,heidfeld,,,Circuit de Monaco,18,77,15,0,8,8,Monaco Grand Prix,7,2000,+1 Lap
jaguar,herbert,,,Circuit de Monaco,11,76,8,0,9,9,Monaco Grand Prix,7,2000,+2 Laps
jordan,frentzen,,,Circuit de Monaco,4,70,5,0,10,10,Monaco Grand Prix,7,2000,Spun off
arrows,verstappen,,,Circuit de Monaco,15,60,19,0,11,R,Monaco Grand Prix,7,2000,Spun off
ferrari,michael_schumacher,,,Circuit de Monaco,1,55,3,0,12,R,Monaco Grand Prix,7,2000,Suspension
bar,zonta,,,Circuit de Monaco,20,48,23,0,13,R,Monaco Grand Prix,7,2000,Spun off
williams,ralf_schumacher,,,Circuit de Monaco,9,37,9,0,14,R,Monaco Grand Prix,7,2000,Spun off
jordan,trulli,,,Circuit de Monaco,2,36,6,0,15,R,Monaco Grand Prix,7,2000,Gearbox
sauber,diniz,,,Circuit de Monaco,19,30,16,0,16,R,Monaco Grand Prix,7,2000,Spun off
prost,alesi,,,Circuit de Monaco,7,29,14,0,17,R,Monaco Grand Prix,7,2000,Transmission
minardi,mazzacane,,,Circuit de Monaco,22,22,21,0,18,R,Monaco Grand Prix,7,2000,Spun off
minardi,gene,,,Circuit de Monaco,21,21,20,0,19,R,Monaco Grand Prix,7,2000,Gearbox
benetton,wurz,,,Circuit de Monaco,12,18,12,0,20,R,Monaco Grand Prix,7,2000,Spun off
williams,button,,,Circuit de Monaco,14,16,10,0,21,R,Monaco Grand Prix,7,2000,Engine
arrows,rosa,,,Circuit de Monaco,16,0,18,0,22,R,Monaco Grand Prix,7,2000,Not restarted
ferrari,michael_schumacher,,"{'millis': '6072313', 'time': '1:41:12.313'}",Circuit Gilles Villeneuve,1,69,3,10,1,1,Canadian Grand Prix,8,2000,Finished
ferrari,barrichello,,"{'millis': '6072487', 'time': '+0.174'}",Circuit Gilles Villeneuve,3,69,4,6,2,2,Canadian Grand Prix,8,2000,Finished
benetton,fisichella,,"{'millis': '6087678', 'time': '+15.365'}",Circuit Gilles Villeneuve,10,69,11,4,3,3,Canadian Grand Prix,8,2000,Finished
mclaren,hakkinen,,"{'millis': '6090874', 'time': '+18.561'}",Circuit Gilles Villeneuve,4,69,1,3,4,4,Canadian Grand Prix,8,2000,Finished
arrows,verstappen,,"{'millis': '6124521', 'time': '+52.208'}",Circuit Gilles Villeneuve,13,69,19,2,5,5,Canadian Grand Prix,8,2000,Finished
jordan,trulli,,"{'millis': '6134000', 'time': '+1:01.687'}",Circuit Gilles Villeneuve,7,69,6,1,6,6,Canadian Grand Prix,8,2000,Finished
mclaren,coulthard,,"{'millis': '6134529', 'time': '+1:02.216'}",Circuit Gilles Villeneuve,2,69,2,0,7,7,Canadian Grand Prix,8,2000,Finished
bar,zonta,,"{'millis': '6142768', 'time': '+1:10.455'}",Circuit Gilles Villeneuve,8,69,23,0,8,8,Canadian Grand Prix,8,2000,Finished
benetton,wurz,,"{'millis': '6152212', 'time': '+1:19.899'}",Circuit Gilles Villeneuve,14,69,12,0,9,9,Canadian Grand Prix,8,2000,Finished
sauber,diniz,,"{'millis': '6186857', 'time': '+1:54.544'}",Circuit Gilles Villeneuve,19,69,16,0,10,10,Canadian Grand Prix,8,2000,Finished
williams,button,,,Circuit Gilles Villeneuve,18,68,10,0,11,11,Canadian Grand Prix,8,2000,+1 Lap
minardi,mazzacane,,,Circuit Gilles Villeneuve,22,68,21,0,12,12,Canadian Grand Prix,8,2000,+1 Lap
jaguar,irvine,,,Circuit Gilles Villeneuve,16,66,7,0,13,13,Canadian Grand Prix,8,2000,+3 Laps
williams,ralf_schumacher,,,Circuit Gilles Villeneuve,12,64,9,0,14,14,Canadian Grand Prix,8,2000,Collision
bar,villeneuve,,,Circuit Gilles Villeneuve,6,64,22,0,15,15,Canadian Grand Prix,8,2000,Collision
minardi,gene,,,Circuit Gilles Villeneuve,20,64,20,0,16,16,Canadian Grand Prix,8,2000,Spun off
arrows,rosa,,,Circuit Gilles Villeneuve,9,48,18,0,17,R,Canadian Grand Prix,8,2000,Collision
sauber,salo,,,Circuit Gilles Villeneuve,15,42,17,0,18,R,Canadian Grand Prix,8,2000,Electrical
prost,alesi,,,Circuit Gilles Villeneuve,17,38,14,0,19,R,Canadian Grand Prix,8,2000,Electrical
prost,heidfeld,,,Circuit Gilles Villeneuve,21,34,15,0,20,R,Canadian Grand Prix,8,2000,Engine
jordan,frentzen,,,Circuit Gilles Villeneuve,5,32,5,0,21,R,Canadian Grand Prix,8,2000,Brakes
jaguar,herbert,,,Circuit Gilles Villeneuve,11,14,8,0,22,R,Canadian Grand Prix,8,2000,Gearbox
mclaren,coulthard,,"{'millis': '5885538', 'time': '1:38:05.538'}",Circuit de Nevers Magny-Cours,2,72,2,10,1,1,French Grand Prix,9,2000,Finished
mclaren,hakkinen,,"{'millis': '5900286', 'time': '+14.748'}",Circuit de Nevers Magny-Cours,4,72,1,6,2,2,French Grand Prix,9,2000,Finished
ferrari,barrichello,,"{'millis': '5917947', 'time': '+32.409'}",Circuit de Nevers Magny-Cours,3,72,4,4,3,3,French Grand Prix,9,2000,Finished
bar,villeneuve,,"{'millis': '5946860', 'time': '+1:01.322'}",Circuit de Nevers Magny-Cours,7,72,22,3,4,4,French Grand Prix,9,2000,Finished
williams,ralf_schumacher,,"{'millis': '5949519', 'time': '+1:03.981'}",Circuit de Nevers Magny-Cours,5,72,9,2,5,5,French Grand Prix,9,2000,Finished
jordan,trulli,,"{'millis': '5961143', 'time': '+1:15.605'}",Circuit de Nevers Magny-Cours,9,72,6,1,6,6,French Grand Prix,9,2000,Finished
jordan,frentzen,,,Circuit de Nevers Magny-Cours,8,71,5,0,7,7,French Grand Prix,9,2000,+1 Lap
williams,button,,,Circuit de Nevers Magny-Cours,10,71,10,0,8,8,French Grand Prix,9,2000,+1 Lap
benetton,fisichella,,,Circuit de Nevers Magny-Cours,14,71,11,0,9,9,French Grand Prix,9,2000,+1 Lap
sauber,salo,,,Circuit de Nevers Magny-Cours,12,71,17,0,10,10,French Grand Prix,9,2000,+1 Lap
sauber,diniz,,,Circuit de Nevers Magny-Cours,15,71,16,0,11,11,French Grand Prix,9,2000,+1 Lap
prost,heidfeld,,,Circuit de Nevers Magny-Cours,16,71,15,0,12,12,French Grand Prix,9,2000,+1 Lap
jaguar,irvine,,,Circuit de Nevers Magny-Cours,6,70,7,0,13,13,French Grand Prix,9,2000,+2 Laps
prost,alesi,,,Circuit de Nevers Magny-Cours,18,70,14,0,14,14,French Grand Prix,9,2000,+2 Laps
minardi,gene,,,Circuit de Nevers Magny-Cours,21,70,20,0,15,15,French Grand Prix,9,2000,+2 Laps
ferrari,michael_schumacher,,,Circuit de Nevers Magny-Cours,1,58,3,0,16,R,French Grand Prix,9,2000,Engine
arrows,rosa,,,Circuit de Nevers Magny-Cours,13,45,18,0,17,R,French Grand Prix,9,2000,Transmission
benetton,wurz,,,Circuit de Nevers Magny-Cours,17,34,12,0,18,R,French Grand Prix,9,2000,Spun off
minardi,mazzacane,,,Circuit de Nevers Magny-Cours,22,31,21,0,19,R,French Grand Prix,9,2000,Spun off
arrows,verstappen,,,Circuit de Nevers Magny-Cours,20,25,19,0,20,R,French Grand Prix,9,2000,Transmission
jaguar,herbert,,,Circuit de Nevers Magny-Cours,11,20,8,0,21,R,French Grand Prix,9,2000,Gearbox
bar,zonta,,,Circuit de Nevers Magny-Cours,19,16,23,0,22,R,French Grand Prix,9,2000,Spun off
mclaren,hakkinen,,"{'millis': '5295818', 'time': '1:28:15.818'}",A1-Ring,1,71,1,10,1,1,Austrian Grand Prix,10,2000,Finished
mclaren,coulthard,,"{'millis': '5308353', 'time': '+12.535'}",A1-Ring,2,71,2,6,2,2,Austrian Grand Prix,10,2000,Finished
ferrari,barrichello,,"{'millis': '5326613', 'time': '+30.795'}",A1-Ring,3,71,4,4,3,3,Austrian Grand Prix,10,2000,Finished
bar,villeneuve,,,A1-Ring,7,70,22,3,4,4,Austrian Grand Prix,10,2000,+1 Lap
williams,button,,,A1-Ring,18,70,10,2,5,5,Austrian Grand Prix,10,2000,+1 Lap
sauber,salo,,,A1-Ring,9,70,17,1,6,6,Austrian Grand Prix,10,2000,+1 Lap
jaguar,herbert,,,A1-Ring,16,70,8,0,7,7,Austrian Grand Prix,10,2000,+1 Lap
minardi,gene,,,A1-Ring,20,70,20,0,8,8,Austrian Grand Prix,10,2000,+1 Lap
sauber,diniz,,,A1-Ring,11,70,16,0,9,9,Austrian Grand Prix,10,2000,+1 Lap
benetton,wurz,,,A1-Ring,14,70,12,0,10,10,Austrian Grand Prix,10,2000,+1 Lap
jaguar,burti,,,A1-Ring,21,69,7,0,11,11,Austrian Grand Prix,10,2000,+2 Laps
minardi,mazzacane,,,A1-Ring,22,68,21,0,12,12,Austrian Grand Prix,10,2000,+3 Laps
bar,zonta,,,A1-Ring,6,58,23,0,13,R,Austrian Grand Prix,10,2000,Engine
williams,ralf_schumacher,,,A1-Ring,19,52,9,0,14,R,Austrian Grand Prix,10,2000,Brakes
prost,heidfeld,,,A1-Ring,13,41,15,0,15,R,Austrian Grand Prix,10,2000,Collision
prost,alesi,,,A1-Ring,17,41,14,0,16,R,Austrian Grand Prix,10,2000,Collision
arrows,rosa,,,A1-Ring,12,32,18,0,17,R,Austrian Grand Prix,10,2000,Gearbox
arrows,verstappen,,,A1-Ring,10,14,19,0,18,R,Austrian Grand Prix,10,2000,Engine
jordan,frentzen,,,A1-Ring,15,4,5,0,19,R,Austrian Grand Prix,10,2000,Oil leak
ferrari,michael_schumacher,,,A1-Ring,4,0,3,0,20,R,Austrian Grand Prix,10,2000,Collision
jordan,trulli,,,A1-Ring,5,0,6,0,21,R,Austrian Grand Prix,10,2000,Collision
benetton,fisichella,,,A1-Ring,8,0,11,0,22,R,Austrian Grand Prix,10,2000,Collision
ferrari,barrichello,,"{'millis': '5134418', 'time': '1:25:34.418'}",Hockenheimring,18,45,4,10,1,1,German Grand Prix,11,2000,Finished
mclaren,hakkinen,,"{'millis': '5141870', 'time': '+7.452'}",Hockenheimring,4,45,1,6,2,2,German Grand Prix,11,2000,Finished
mclaren,coulthard,,"{'millis': '5155586', 'time': '+21.168'}",Hockenheimring,1,45,2,4,3,3,German Grand Prix,11,2000,Finished
williams,button,,"{'millis': '5157103', 'time': '+22.685'}",Hockenheimring,16,45,10,3,4,4,German Grand Prix,11,2000,Finished
